#Date, time, sensornum, avgWatts
2015 01 31, 21:48, 1, 425.660018652
2015 01 31, 21:48, 1, 425.194262535
2015 01 31, 21:50, 1, 409.039083933
2015 01 31, 21:50, 1, 408.562937456
2015 01 31, 21:50, 1, 408.137569509
2015 01 31, 21:50, 1, 407.654299236
2015 01 31, 21:50, 1, 407.134100872
2015 01 31, 21:50, 1, 406.266759559
2015 01 31, 21:50, 1, 406.139026097
2015 01 31, 21:50, 1, 405.615267045
2015 01 31, 21:50, 1, 405.225771884
2015 01 31, 21:50, 1, 404.749113211
2015 01 31, 21:50, 1, 403.036204428
2015 01 31, 21:50, 1, 403.006592318
2015 01 31, 21:50, 1, 402.916674385
2015 01 31, 21:50, 1, 402.806054218
2015 01 31, 21:50, 1, 402.314231859
2015 01 31, 21:50, 1, 401.877909606
2015 01 31, 21:50, 1, 401.32322077
2015 01 31, 21:50, 1, 400.893026938
2015 01 31, 21:50, 1, 400.401119404
2015 01 31, 21:50, 1, 399.926693303
2015 01 31, 21:50, 1, 399.459420561
2015 01 31, 21:50, 1, 398.940294736
2015 01 31, 21:50, 1, 398.567102408
2015 01 31, 21:50, 1, 398.124613091
2015 01 31, 21:50, 1, 397.585307375
2015 01 31, 21:50, 1, 397.123527521
2015 01 31, 21:50, 1, 396.647483848
2015 01 31, 21:50, 1, 396.168009126
2015 01 31, 21:50, 1, 395.74610816
2015 01 31, 21:52, 1, 381.737667892
2015 01 31, 21:52, 1, 381.393489592
2015 01 31, 21:52, 1, 380.83442118
2015 01 31, 21:52, 1, 380.544646644
2015 01 31, 21:52, 1, 380.063284728
2015 01 31, 21:52, 1, 379.630036474
2015 01 31, 21:52, 1, 379.252012827
2015 01 31, 21:52, 1, 378.834066516
2015 01 31, 21:52, 1, 378.126473018
2015 01 31, 21:52, 1, 377.975987717
2015 01 31, 21:52, 1, 377.543595647
2015 01 31, 21:52, 1, 377.185455717
2015 01 31, 21:52, 1, 376.785201729
2015 01 31, 21:52, 1, 376.322246281
2015 01 31, 21:52, 1, 375.934967835
2015 01 31, 21:52, 1, 375.468268637
2015 01 31, 21:52, 1, 375.197897714
